consumer_id	creator_id	stage	case	variant	model	effort
C-U001	control-001	control	S01	ordinary	gpt-5.6-sol	high
C-U002	control-001	control	S01	challenging	gpt-5.6-sol	high
C-U003	control-002	control	S01	ordinary	gpt-5.6-sol	high
C-U004	control-002	control	S01	challenging	gpt-5.6-sol	high
C-U005	control-003	control	S01	ordinary	gpt-5.6-sol	high
C-U006	control-003	control	S01	challenging	gpt-5.6-sol	high
C-U007	control-004	control	S01	ordinary	gpt-5.6-sol	high
C-U008	control-004	control	S01	challenging	gpt-5.6-sol	high
C-U009	control-005	control	S01	ordinary	gpt-5.6-sol	high
C-U010	control-005	control	S01	challenging	gpt-5.6-sol	high
C-U011	control-006	control	S01	ordinary	gpt-5.6-sol	high
C-U012	control-006	control	S01	challenging	gpt-5.6-sol	high
C-U013	control-007	control	S01	ordinary	gpt-5.6-sol	high
C-U014	control-007	control	S01	challenging	gpt-5.6-sol	high
C-U015	control-008	control	S01	ordinary	gpt-5.6-sol	high
C-U016	control-008	control	S01	challenging	gpt-5.6-sol	high
C-U017	control-009	control	S01	ordinary	gpt-5.6-sol	high
C-U018	control-009	control	S01	challenging	gpt-5.6-sol	high
C-U019	control-010	control	S01	ordinary	gpt-5.6-sol	high
C-U020	control-010	control	S01	challenging	gpt-5.6-sol	high
C-U021	control-011	control	S01	ordinary	gpt-5.6-sol	high
C-U022	control-011	control	S01	challenging	gpt-5.6-sol	high
C-U023	control-012	control	S01	ordinary	gpt-5.6-sol	high
C-U024	control-012	control	S01	challenging	gpt-5.6-sol	high
C-U025	control-013	control	S03	ordinary	gpt-5.6-sol	high
C-U026	control-013	control	S03	challenging	gpt-5.6-sol	high
C-U027	control-014	control	S03	ordinary	gpt-5.6-sol	high
C-U028	control-014	control	S03	challenging	gpt-5.6-sol	high
C-U029	control-015	control	S03	ordinary	gpt-5.6-sol	high
C-U030	control-015	control	S03	challenging	gpt-5.6-sol	high
C-U031	control-016	control	S03	ordinary	gpt-5.6-sol	high
C-U032	control-016	control	S03	challenging	gpt-5.6-sol	high
C-U033	control-017	control	S03	ordinary	gpt-5.6-sol	high
C-U034	control-017	control	S03	challenging	gpt-5.6-sol	high
C-U035	control-018	control	S03	ordinary	gpt-5.6-sol	high
C-U036	control-018	control	S03	challenging	gpt-5.6-sol	high
C-U037	control-019	control	S03	ordinary	gpt-5.6-sol	high
C-U038	control-019	control	S03	challenging	gpt-5.6-sol	high
C-U039	control-020	control	S03	ordinary	gpt-5.6-sol	high
C-U040	control-020	control	S03	challenging	gpt-5.6-sol	high
C-U041	control-021	control	S03	ordinary	gpt-5.6-sol	high
C-U042	control-021	control	S03	challenging	gpt-5.6-sol	high
C-U043	control-022	control	S03	ordinary	gpt-5.6-sol	high
C-U044	control-022	control	S03	challenging	gpt-5.6-sol	high
C-U045	control-023	control	S03	ordinary	gpt-5.6-sol	high
C-U046	control-023	control	S03	challenging	gpt-5.6-sol	high
C-U047	control-024	control	S03	ordinary	gpt-5.6-sol	high
C-U048	control-024	control	S03	challenging	gpt-5.6-sol	high
C-U049	control-025	control	S05	ordinary	gpt-5.6-sol	high
C-U050	control-025	control	S05	challenging	gpt-5.6-sol	high
C-U051	control-026	control	S05	ordinary	gpt-5.6-sol	high
C-U052	control-026	control	S05	challenging	gpt-5.6-sol	high
C-U053	control-027	control	S05	ordinary	gpt-5.6-sol	high
C-U054	control-027	control	S05	challenging	gpt-5.6-sol	high
C-U055	control-028	control	S05	ordinary	gpt-5.6-sol	high
C-U056	control-028	control	S05	challenging	gpt-5.6-sol	high
C-U057	control-029	control	S05	ordinary	gpt-5.6-sol	high
C-U058	control-029	control	S05	challenging	gpt-5.6-sol	high
C-U059	control-030	control	S05	ordinary	gpt-5.6-sol	high
C-U060	control-030	control	S05	challenging	gpt-5.6-sol	high
C-U061	control-031	control	S05	ordinary	gpt-5.6-sol	high
C-U062	control-031	control	S05	challenging	gpt-5.6-sol	high
C-U063	control-032	control	S05	ordinary	gpt-5.6-sol	high
C-U064	control-032	control	S05	challenging	gpt-5.6-sol	high
C-U065	control-033	control	S05	ordinary	gpt-5.6-sol	high
C-U066	control-033	control	S05	challenging	gpt-5.6-sol	high
C-U067	control-034	control	S05	ordinary	gpt-5.6-sol	high
C-U068	control-034	control	S05	challenging	gpt-5.6-sol	high
C-U069	control-035	control	S05	ordinary	gpt-5.6-sol	high
C-U070	control-035	control	S05	challenging	gpt-5.6-sol	high
C-U071	control-036	control	S05	ordinary	gpt-5.6-sol	high
C-U072	control-036	control	S05	challenging	gpt-5.6-sol	high
C-U073	control-037	control	S06	ordinary	gpt-5.6-sol	high
C-U074	control-037	control	S06	challenging	gpt-5.6-sol	high
C-U075	control-038	control	S06	ordinary	gpt-5.6-sol	high
C-U076	control-038	control	S06	challenging	gpt-5.6-sol	high
C-U077	control-039	control	S06	ordinary	gpt-5.6-sol	high
C-U078	control-039	control	S06	challenging	gpt-5.6-sol	high
C-U079	control-040	control	S06	ordinary	gpt-5.6-sol	high
C-U080	control-040	control	S06	challenging	gpt-5.6-sol	high
C-U081	control-041	control	S06	ordinary	gpt-5.6-sol	high
C-U082	control-041	control	S06	challenging	gpt-5.6-sol	high
C-U083	control-042	control	S06	ordinary	gpt-5.6-sol	high
C-U084	control-042	control	S06	challenging	gpt-5.6-sol	high
C-U085	control-043	control	S06	ordinary	gpt-5.6-sol	high
C-U086	control-043	control	S06	challenging	gpt-5.6-sol	high
C-U087	control-044	control	S06	ordinary	gpt-5.6-sol	high
C-U088	control-044	control	S06	challenging	gpt-5.6-sol	high
C-U089	control-045	control	S06	ordinary	gpt-5.6-sol	high
C-U090	control-045	control	S06	challenging	gpt-5.6-sol	high
C-U091	control-046	control	S06	ordinary	gpt-5.6-sol	high
C-U092	control-046	control	S06	challenging	gpt-5.6-sol	high
C-U093	control-047	control	S06	ordinary	gpt-5.6-sol	high
C-U094	control-047	control	S06	challenging	gpt-5.6-sol	high
C-U095	control-048	control	S06	ordinary	gpt-5.6-sol	high
C-U096	control-048	control	S06	challenging	gpt-5.6-sol	high
C-U097	control-049	control	S09	ordinary	gpt-5.6-sol	high
C-U098	control-049	control	S09	challenging	gpt-5.6-sol	high
C-U099	control-050	control	S09	ordinary	gpt-5.6-sol	high
C-U100	control-050	control	S09	challenging	gpt-5.6-sol	high
C-U101	control-051	control	S09	ordinary	gpt-5.6-sol	high
C-U102	control-051	control	S09	challenging	gpt-5.6-sol	high
C-U103	control-052	control	S09	ordinary	gpt-5.6-sol	high
C-U104	control-052	control	S09	challenging	gpt-5.6-sol	high
C-U105	control-053	control	S09	ordinary	gpt-5.6-sol	high
C-U106	control-053	control	S09	challenging	gpt-5.6-sol	high
C-U107	control-054	control	S09	ordinary	gpt-5.6-sol	high
C-U108	control-054	control	S09	challenging	gpt-5.6-sol	high
C-U109	control-055	control	S09	ordinary	gpt-5.6-sol	high
C-U110	control-055	control	S09	challenging	gpt-5.6-sol	high
C-U111	control-056	control	S09	ordinary	gpt-5.6-sol	high
C-U112	control-056	control	S09	challenging	gpt-5.6-sol	high
C-U113	control-057	control	S09	ordinary	gpt-5.6-sol	high
C-U114	control-057	control	S09	challenging	gpt-5.6-sol	high
C-U115	control-058	control	S09	ordinary	gpt-5.6-sol	high
C-U116	control-058	control	S09	challenging	gpt-5.6-sol	high
C-U117	control-059	control	S09	ordinary	gpt-5.6-sol	high
C-U118	control-059	control	S09	challenging	gpt-5.6-sol	high
C-U119	control-060	control	S09	ordinary	gpt-5.6-sol	high
C-U120	control-060	control	S09	challenging	gpt-5.6-sol	high
C-U121	control-061	control	S10	ordinary	gpt-5.6-sol	high
C-U122	control-061	control	S10	challenging	gpt-5.6-sol	high
C-U123	control-062	control	S10	ordinary	gpt-5.6-sol	high
C-U124	control-062	control	S10	challenging	gpt-5.6-sol	high
C-U125	control-063	control	S10	ordinary	gpt-5.6-sol	high
C-U126	control-063	control	S10	challenging	gpt-5.6-sol	high
C-U127	control-064	control	S10	ordinary	gpt-5.6-sol	high
C-U128	control-064	control	S10	challenging	gpt-5.6-sol	high
C-U129	control-065	control	S10	ordinary	gpt-5.6-sol	high
C-U130	control-065	control	S10	challenging	gpt-5.6-sol	high
C-U131	control-066	control	S10	ordinary	gpt-5.6-sol	high
C-U132	control-066	control	S10	challenging	gpt-5.6-sol	high
C-U133	control-067	control	S10	ordinary	gpt-5.6-sol	high
C-U134	control-067	control	S10	challenging	gpt-5.6-sol	high
C-U135	control-068	control	S10	ordinary	gpt-5.6-sol	high
C-U136	control-068	control	S10	challenging	gpt-5.6-sol	high
C-U137	control-069	control	S10	ordinary	gpt-5.6-sol	high
C-U138	control-069	control	S10	challenging	gpt-5.6-sol	high
C-U139	control-070	control	S10	ordinary	gpt-5.6-sol	high
C-U140	control-070	control	S10	challenging	gpt-5.6-sol	high
C-U141	control-071	control	S10	ordinary	gpt-5.6-sol	high
C-U142	control-071	control	S10	challenging	gpt-5.6-sol	high
C-U143	control-072	control	S10	ordinary	gpt-5.6-sol	high
C-U144	control-072	control	S10	challenging	gpt-5.6-sol	high
